match_id,giornata,season,date_str,home_team,home_team_code,away_team,away_team_code,home_score,away_score,status,difficolta_home,difficolta_away
2026_G09_PAR_UDI,9,2026/2027,Wed Oct 28 15:00,Parma,PAR,Udinese,UDI,,,SCHEDULED,1,1
2026_G09_MON_NAP,9,2026/2027,Wed Oct 28 15:00,Monza,MON,Napoli,NAP,,,SCHEDULED,3,1
2026_G09_ROM_CAG,9,2026/2027,Wed Oct 28 15:00,Roma,ROM,Cagliari,CAG,,,SCHEDULED,1,2
2026_G09_VER_LAZ,9,2026/2027,Wed Oct 28 15:00,Verona,VER,Lazio,LAZ,,,SCHEDULED,2,1
2026_G09_TOR_COM,9,2026/2027,Wed Oct 28 15:00,Torino,TOR,Como,COM,,,SCHEDULED,1,2
2026_G09_EMP_LEC,9,2026/2027,Wed Oct 28 15:00,Empoli,EMP,Lecce,LEC,,,SCHEDULED,1,1
2026_G10_BOL_MON,10,2026/2027,Sun Nov 1 15:00,Bologna,BOL,Monza,MON,,,SCHEDULED,1,2
2026_G10_LEC_GEN,10,2026/2027,Sun Nov 1 15:00,Lecce,LEC,Genoa,GEN,,,SCHEDULED,1,1
2026_G10_VER_FIO,10,2026/2027,Sun Nov 1 15:00,Verona,VER,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G10_UDI_ROM,10,2026/2027,Sun Nov 1 15:00,Udinese,UDI,Roma,ROM,,,SCHEDULED,2,1
2026_G10_COM_VEN,10,2026/2027,Sun Nov 1 15:00,Como,COM,Venezia,VEN,,,SCHEDULED,1,1
2026_G10_EMP_TOR,10,2026/2027,Sun Nov 1 15:00,Empoli,EMP,Torino,TOR,,,SCHEDULED,2,1
2026_G10_ATA_PAR,10,2026/2027,Sun Nov 1 15:00,Atalanta,ATA,Parma,PAR,,,SCHEDULED,1,3
2026_G10_LAZ_CAG,10,2026/2027,Sun Nov 1 15:00,Lazio,LAZ,Cagliari,CAG,,,SCHEDULED,1,2
2026_G10_JUV_NAP,10,2026/2027,Sun Nov 1 15:00,Juventus,JUV,Napoli,NAP,,,SCHEDULED,3,3
2026_G10_MIL_INT,10,2026/2027,Sun Nov 1 15:00,Milan,MIL,Inter,INT,,,SCHEDULED,3,3
2026_G11_FIO_JUV,11,2026/2027,Sun Nov 8 15:00,Fiorentina,FIO,Juventus,JUV,,,SCHEDULED,3,2
2026_G11_INT_COM,11,2026/2027,Sun Nov 8 15:00,Inter,INT,Como,COM,,,SCHEDULED,1,3
2026_G11_ROM_VER,11,2026/2027,Sun Nov 8 15:00,Roma,ROM,Verona,VER,,,SCHEDULED,1,2
2026_G11_TOR_LEC,11,2026/2027,Sun Nov 8 15:00,Torino,TOR,Lecce,LEC,,,SCHEDULED,1,2
2026_G11_NAP_LAZ,11,2026/2027,Sun Nov 8 15:00,Napoli,NAP,Lazio,LAZ,,,SCHEDULED,2,3
2026_G11_CAG_EMP,11,2026/2027,Sun Nov 8 15:00,Cagliari,CAG,Empoli,EMP,,,SCHEDULED,1,1
2026_G11_PAR_BOL,11,2026/2027,Sun Nov 8 15:00,Parma,PAR,Bologna,BOL,,,SCHEDULED,2,1
2026_G11_GEN_MIL,11,2026/2027,Sun Nov 8 15:00,Genoa,GEN,Milan,MIL,,,SCHEDULED,3,1
2026_G11_VEN_UDI,11,2026/2027,Sun Nov 8 15:00,Venezia,VEN,Udinese,UDI,,,SCHEDULED,1,1
2026_G11_MON_ATA,11,2026/2027,Sun Nov 8 15:00,Monza,MON,Atalanta,ATA,,,SCHEDULED,3,1
2026_G12_MON_FIO,12,2026/2027,Sun Nov 22 15:00,Monza,MON,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G12_ATA_INT,12,2026/2027,Sun Nov 22 15:00,Atalanta,ATA,Inter,INT,,,SCHEDULED,3,3
2026_G12_JUV_VEN,12,2026/2027,Sun Nov 22 15:00,Juventus,JUV,Venezia,VEN,,,SCHEDULED,1,3
2026_G12_BOL_UDI,12,2026/2027,Sun Nov 22 15:00,Bologna,BOL,Udinese,UDI,,,SCHEDULED,1,2
